,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
351,Carol,"August 31, 1954",115 mph (185 km/h),955 hPa (28.20 inHg),"East Coast of the United States, Atlantic Canada",,[11][100][101][102],,3
352,Edna,"September 9–11, 1954",125 mph (205 km/h),943 hPa (27.85 inHg),"New England, Atlantic Canada",27,,[103][104][105][106],3
353,Hilda,"September 15–19, 1955 †",120 mph (195 km/h),952 hPa (28.11 inHg),"Cuba, Mexico",304,,[107],3
354,Betsy,"August 13–17, 1956 †",120 mph (195 km/h),959 hPa (28.32 inHg),"Leeward Islands, Puerto Rico, Bahamas",,[108][109],,3
355,Audrey,"June 27, 1957",125 mph (205 km/h),946 hPa (27.94 inHg),"Gulf Coast of the United States, Canada",431,,[11][110][111],3
356,Hannah,"September 30–October 2, 1959",120 mph (195 km/h),959 hPa (28.32 inHg),Azores,,,[112],3
357,Ethel,"September 14–15, 1960",115 mph (185 km/h),974 hPa (28.76 inHg),Gulf Coast of the United States,1,,[113][114],3
358,Arlene,"August 9–10, 1963",115 mph (185 km/h),969 hPa (28.61 inHg),"Leeward Islands, Bermuda",,,,3
359,Beulah,"August 24, 1963",120 mph (195 km/h),958 hPa (28.29 inHg),No land areas,,,,3
360,Isbell,"October 14–15, 1964",115 mph (185 km/h),964 hPa (28.47 inHg),"Cuba, East Coast of the United States",7,,[115][116][117],3
361,Alma,"June 8–9, 1966",125 mph (205 km/h),970 hPa (28.64 inHg),"Central America, Cuba, East Coast of the United States",93,,[118][119][120],3
362,Faith,"August 28–29, 1966",120 mph (195 km/h),950 hPa (28.05 inHg),"Atlantic Canada, Northern Europe",5,,[121][122],3
363,Debbie,"August 18–23, 1969 †",120 mph (195 km/h),951 hPa (28.08 inHg),Atlantic Canada,,,[123],3
364,Francelia,"September 2, 1969",115 mph (185 km/h),973 hPa (28.73 inHg),Central America,271,,[124],3
365,Gerda,"September 9, 1969",125 mph (205 km/h),979 hPa (28.91 inHg),"East Coast of the United States, Atlantic Canada",,,[125],3
366,Inga,"October 5, 1969",115 mph (185 km/h),964 hPa (28.47 inHg),Bermuda,,,[126],3
367,Ella,"September 12, 1970",125 mph (205 km/h),967 hPa (28.56 inHg),"Cuba, Florida, Texas",1,,[127][128],3
368,Ellen,"September 22, 1973",115 mph (185 km/h),962 hPa (28.41 inHg),No land areas,,,,3
369,Becky,"August 30–31, 1974",115 mph (185 km/h),977 hPa (28.85 inHg),No land areas,,,,3
370,Caroline,"August 31, 1975",115 mph (185 km/h),963 hPa (28.44 inHg),"Turks and Caicos, Cuba, Mexico",2,,[129],3
371,Eloise,"September 23, 1975",125 mph (205 km/h),955 hPa (28.20 inHg),"Lesser Antilles, Greater Antilles, Yucatán peninsula, Gulf Coast of the United States, eastern United States",80,,[12][130],3
372,Belle,"August 8–9, 1976",120 mph (195 km/h),957 hPa (28.26 inHg),East Coast of the United States,,[131][132][133],,3
373,Frances,"September 1, 1976",115 mph (185 km/h),963 hPa (28.44 inHg),No land areas,,,,3
374,Frances,"September 9, 1980",115 mph (185 km/h),958 hPa (28.29 inHg),Cape Verde,,,[134],3
375,Floyd,"September 7, 1981",115 mph (185 km/h),975 hPa (28.79 inHg),"Lesser Antilles, Bermuda",,,,3
376,Irene,"September 28–29, 1981",120 mph (195 km/h),959 hPa (28.32 inHg),No land areas,,,,3
377,Alicia,"August 18, 1983",115 mph (185 km/h),962 hPa (28.41 inHg),Texas,21,,[135][136],3
378,Elena,"September 1-2, 1985",125 mph (205 km/h),953 hPa (28.14 inHg),"Cuba, Mississippi",9,$1.3 billion,,3
379,Kate,"November 20–21, 1985",120 mph (195 km/h),954 hPa (28.17 inHg),"Cuba, Florida",15,,[137],3
380,Emily,"September 22–23, 1987",125 mph (205 km/h),958 hPa (28.29 inHg),"Lesser Antilles, Greater Antilles, Bermuda, Bahamas",3,,[138],3
381,Gustav,31-Aug-90,120 mph (195 km/h),956 hPa (28.23 inHg),No Land Areas,0,Minimal,[139],3
