RowID,Name,StartDate,EndDate,DurationDays,WindSpeed_mph,WindSpeed_kmh,Pressure_hPa,Pressure_inHg,Areas_affected,Deaths,Damage_USD,Category
121,Katrina,11/3/1981,11/7/1981,4,85,140,980,28.94,"Cayman Islands, Jamaica, Cuba, The Bahamas, Turks and Caicos Islands",2,NULL,1
122,Alberto,6/1/1982,6/6/1982,5,85,140,985,29.09,"Cuba, Florida",23,85000000,1
123,Barry,8/23/1983,8/29/1983,6,80,130,986,29.12,"Florida, Texas, Mexico",0,NULL,1
124,Chantal,9/10/1983,9/15/1983,5,75,120,994,29.35,NULL,0,NULL,1
125,Hortense,9/23/1984,10/2/1984,9,75,120,993,29.32,NULL,0,NULL,1
126,Klaus,11/5/1984,11/13/1984,8,90,150,971,28.67,"Puerto Rico, Leeward Islands",2,152000000,1
127,Lili,12/12/1984,12/24/1984,12,80,130,980,28.94,"Puerto Rico, Hispaniola",0,NULL,1
128,Bob,7/21/1985,7/26/1985,5,75,120,1002,29.59,United States East Coast,5,20000000,1
129,Claudette,8/9/1985,8/16/1985,7,85,140,980,28.94,"Bermuda, Azores",0,NULL,1
130,Danny,8/12/1985,8/18/1985,6,90,150,987,29.15,"Cuba, United States Gulf Coast, Tennessee, The Carolinas, Virginia",5,100000000,1
131,Juan,10/26/1985,11/21/1985,26,85,140,971,28.67,"United States Gulf Coast, central United States, Canada",12,1500000000,1
132,Bonnie,6/23/1986,6/26/1986,3,85,140,992,29.29,"Texas, Louisiana, Southeastern United States",5,42000000,1
133,Charley,8/13/1986,8/20/1986,7,80,130,987,29.15,"United States East Coast, United Kingdom",15,15000000,1
134,Frances,11/16/1986,11/21/1986,5,85,140,1000,29.53,NULL,0,NULL,1
135,Arlene,8/10/1987,8/23/1987,13,75,120,987,29.15,"The Bahamas, Bermuda",0,8000,1
136,Floyd,10/9/1987,10/13/1987,4,75,120,993,29.32,"Cuba, Florida, The Bahamas",1,500000,1
137,Debby,8/31/1988,9/8/1988,8,75,120,991,29.26,Mexico,20,NULL,1
138,Florence,9/7/1988,9/11/1988,4,80,130,982,29,"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida",1,2900000,1
139,Chantal,7/30/1989,8/3/1989,4,80,130,984,29.06,"Texas, Louisiana, Oklahoma, Midwestern United States",13,100000000,1
140,Felix,8/25/1989,9/9/1989,15,85,140,979,28.91,NULL,0,NULL,1
141,Jerry,10/12/1989,10/16/1989,4,85,140,982,29,"Texas, eastern United States",3,70000000,1
142,Bertha,7/24/1990,8/2/1990,9,80,130,973,28.73,"The Bahamas, United States East Coast, Bermuda, Atlantic Canada",9,3910000,1
143,Josephine,9/21/1990,10/6/1990,15,85,140,980,28.94,NULL,0,NULL,1
144,Klaus,10/3/1990,10/9/1990,6,80,130,985,29.09,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",11,1000000,1
145,Lili,10/6/1990,10/14/1990,8,75,120,987,29.15,"Bermuda, United States East Coast, Atlantic Canada",0,NULL,1
146,Nana,10/16/1990,10/21/1990,5,85,140,989,29.21,Bermuda,0,NULL,1
147,1991 Perfect Storm,10/31/1991,11/2/1991,2,75,120,980,28.94,"Northeastern United States, Mid-Atlantic states, Eastern Canada",13,200000000,1
148,Frances,10/23/1992,10/27/1992,4,85,140,976,28.82,"Newfoundland, Iberian Peninsula",0,NULL,1
149,Floyd,9/7/1993,9/10/1993,3,75,120,990,29.23,Newfoundland,0,NULL,1
150,Harvey,9/18/1993,9/21/1993,3,75,120,990,29.23,NULL,0,NULL,1
151,Chris,8/16/1994,8/23/1994,7,80,130,979,28.91,Bermuda,0,NULL,1
152,Gordon,11/8/1994,11/21/1994,13,85,140,980,28.94,"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states",1152,594000000,1
153,Allison,6/3/1995,6/6/1995,3,75,120,987,29.15,"Yucatán Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",1,1700000,1
154,Noel,9/28/1995,10/7/1995,9,75,120,987,29.15,NULL,0,NULL,1
155,Tanya,10/26/1995,11/1/1995,6,85,140,972,28.7,Azores,1,NULL,1
156,Cesar,7/24/1996,7/28/1996,4,85,140,985,29.09,"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",113,203000000,1
157,Dolly,8/19/1996,8/25/1996,6,80,130,989,29.21,"Belize, Mexico, Texas",14,NULL,1
158,Marco,11/16/1996,11/26/1996,10,75,120,983,29.03,"Cuba, Hispaniola, Central America, Jamaica, Florida",15,8200000,1
159,Bill,7/11/1997,7/13/1997,2,75,120,986,29.12,Newfoundland,0,NULL,1
160,Danny,7/16/1997,7/26/1997,10,80,130,984,29.06,"Louisiana, Alabama, Southeastern United States, Mid-Atlantic states, New England",9,100000000,1
161,Ivan,9/19/1998,9/27/1998,8,90,150,975,28.79,NULL,0,NULL,1
162,Lisa,10/5/1998,10/9/1998,4,75,120,995,29.38,NULL,0,NULL,1
163,Nicole,11/24/1998,12/1/1998,7,85,140,979,28.91,NULL,0,NULL,1
